symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,capital_after
NSE:SBIN-EQ,long,2023-03-27T12:54:00+05:30,510.35,2023-03-27T13:06:00+05:30,509.3293,9,stoploss,-9.1863,54.0063,-63.1926,4967.9104
NSE:ASIANPAINT-EQ,long,2023-03-27T11:42:00+05:30,2802.45,2023-03-27T13:09:00+05:30,2796.8451,1,stoploss,-5.6049,51.3528,-56.9577,5135.199
NSE:TCS-EQ,long,2023-03-27T11:54:00+05:30,3139.05,2023-03-27T13:27:00+05:30,3132.7719,1,stoploss,-6.2781,51.8516,-58.1297,5142.2761
NSE:RELIANCE-EQ,long,2023-03-27T12:54:00+05:30,1119.43,2023-03-27T13:36:00+05:30,1123.9077,4,target,17.9109,53.8565,-35.9456,4995.1574
NSE:BAJFINANCE-EQ,short,2023-03-27T13:18:00+05:30,560.42,2023-03-27T14:27:00+05:30,561.5408,9,stoploss,-10.0876,54.689,-64.7766,5070.4224
NSE:SUNPHARMA-EQ,long,2023-03-27T14:12:00+05:30,989.85,2023-03-27T14:30:00+05:30,987.8703,5,stoploss,-9.8985,54.534,-64.4325,4930.7249
NSE:TITAN-EQ,long,2023-03-27T14:33:00+05:30,2508.2,2023-03-27T14:54:00+05:30,2503.1836,1,stoploss,-5.0164,50.9167,-55.9331,4874.7918
NSE:WIPRO-EQ,long,2023-03-27T11:54:00+05:30,181.38,2023-03-27T15:00:00+05:30,181.0172,28,stoploss,-10.1573,54.7257,-64.883,5135.5228
NSE:KOTAKBANK-EQ,long,2023-03-27T12:21:00+05:30,341.19,2023-03-27T15:00:00+05:30,342.5548,15,target,20.4714,54.8081,-34.3367,5093.185
NSE:AXISBANK-EQ,long,2023-03-27T14:36:00+05:30,837.05,2023-03-27T15:00:00+05:30,835.3759,5,stoploss,-8.3705,53.4019,-61.7724,4868.9526
NSE:INFY-EQ,long,2023-03-27T15:00:00+05:30,1392.0,2023-03-27T15:03:00+05:30,1389.216,3,stoploss,-8.352,53.3881,-61.7401,4807.2124
NSE:BAJFINANCE-EQ,short,2023-03-27T15:06:00+05:30,559.18,2023-03-27T15:15:00+05:30,559.4,8,time_exit,-1.76,53.8372,-55.5972,4751.6152
